[INFO ] [2023-03-14 11:49:29,019] Validate - Step 01: Open Register Link at Home Page
[INFO ] [2023-03-14 11:49:30,206] Validate - Step 02: Click to Register button
[INFO ] [2023-03-14 11:49:30,353] Validate - Step 03: Validate error message at First name textbox
[INFO ] [2023-03-14 11:49:30,430]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:49:30,430] Validate - Step 04: Validate error message at Last name textbox
[INFO ] [2023-03-14 11:49:30,508]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:49:30,508] Validate - Step 05: Validate error message at Email textbox
[INFO ] [2023-03-14 11:49:30,587]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:49:30,587] Validate - Step 06: Validate error message at Password textbox
[INFO ] [2023-03-14 11:49:30,666]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:49:30,666] Validate - Step 07: Validate error message at Confirm Password textbox
[INFO ] [2023-03-14 11:49:30,746]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:49:30,891] Register - Step 01: Refresh the Register page
[INFO ] [2023-03-14 11:49:30,915] Register - Step 02: click to Radio button
[INFO ] [2023-03-14 11:49:31,401] Login - Step 01: Open Login Link At Home Page
[INFO ] [2023-03-14 11:53:06,246] Validate - Step 01: Open Register Link at Home Page
[INFO ] [2023-03-14 11:53:06,892] Validate - Step 02: Click to Register button
[INFO ] [2023-03-14 11:53:07,044] Validate - Step 03: Validate error message at First name textbox
[INFO ] [2023-03-14 11:53:07,134]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:53:07,134] Validate - Step 04: Validate error message at Last name textbox
[INFO ] [2023-03-14 11:53:07,210]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:53:07,210] Validate - Step 05: Validate error message at Email textbox
[INFO ] [2023-03-14 11:53:07,291]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:53:07,291] Validate - Step 06: Validate error message at Password textbox
[INFO ] [2023-03-14 11:53:07,369]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:53:07,369] Validate - Step 07: Validate error message at Confirm Password textbox
[INFO ] [2023-03-14 11:53:07,447]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:53:07,521] Register - Step 01: Refresh the Register page
[INFO ] [2023-03-14 11:53:07,539] Register - Step 02: click to Radio button
[INFO ] [2023-03-14 11:53:08,000] Register - Step 03: Input to FirstName with valueSelenium
[INFO ] [2023-03-14 11:53:08,171] Register - Step 04: Input to LastName with valueTesting
[INFO ] [2023-03-14 11:53:08,350] Register - Step 05: Select dropdown with value: 12
[INFO ] [2023-03-14 11:53:08,519] Register - Step 06: Select dropdown with value: March
[INFO ] [2023-03-14 11:53:08,675] Register - Step 07: Select dropdown with value: 1987
[INFO ] [2023-03-14 11:53:08,818] Register - Step 08: Input to Email with valueautomation54974@json.com
[INFO ] [2023-03-14 11:53:09,012] Register - Step 09: Input to Password Textbox with value: 123456?a
[INFO ] [2023-03-14 11:53:09,362] Register - Step 10: Click to Register button at Register page
[INFO ] [2023-03-14 11:53:10,091] Register - Step 11: Verify Success message displayed
[INFO ] [2023-03-14 11:53:10,171]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-03-14 11:53:10,171] Register - Step 12: Click to Continue button at Register page and navigate to Home page
[INFO ] [2023-03-14 11:53:10,599] Login - Step 01: Open Login Link At Home Page
[INFO ] [2023-03-14 11:53:11,037] Login - Step 02: Input to Email textbox with value: automation54974@json.com
[INFO ] [2023-03-14 11:53:11,200] Login - Step 03: Input to Email textbox with value: 123456?a
